,Frequency (kHz),Pulse duration (ns),Photoluminescence
0,2860000,100,9494.40625
1,2860000,130,66444.59375
2,2860000,160,69396.109375
3,2860000,190,61966.390625
4,2860000,220,47441.203125
5,2860000,250,56330.3125
6,2860000,280,63844.1875
7,2860000,310,63608.796875
8,2860000,340,56135.703125
9,2860000,370,47814.390625
10,2860000,400,49615.796875
11,2860000,430,58780.1875
12,2860000,460,61136.0
13,2860000,490,57796.5
14,2860000,520,52732.09375
15,2860000,550,49184.0
16,2860000,580,52009.59375
17,2860000,610,57221.703125
18,2860000,640,58586.40625
19,2860000,670,57104.5
20,2860000,700,55374.703125
21,2860000,730,54032.59375
22,2860000,760,54417.203125
23,2860000,790,56766.890625
24,2860000,820,56894.796875
25,2860000,850,55589.40625
26,2860000,880,53870.5
27,2860000,910,52004.40625
28,2860000,940,52690.796875
29,2860000,970,54756.40625
30,2860000,1000,56241.1875
31,2860000,1030,56683.203125
32,2860000,1060,55083.0
33,2860000,1090,54006.0
34,2860000,1120,54281.703125
35,2860000,1150,56080.3125
36,2860000,1180,57199.796875
37,2860000,1210,56242.0
38,2860000,1240,54159.703125
39,2860000,1270,52183.59375
40,2860000,1300,53015.703125
41,2860000,1330,55117.5
42,2860000,1360,56631.203125
43,2860000,1390,55597.609375
44,2860000,1420,53799.703125
45,2860000,1450,53205.0
46,2860000,1480,54591.40625
47,2860000,1510,56768.40625
48,2860000,1540,56943.390625
49,2860000,1570,55306.90625
50,2860000,1600,53804.59375
51,2860000,1630,53777.390625
52,2860000,1660,55168.203125
53,2860000,1690,55678.0
54,2860000,1720,55436.6875
55,2860000,1750,53605.796875
56,2860000,1780,53022.90625
57,2860000,1810,54194.796875
58,2860000,1840,55439.703125
59,2860000,1870,56040.796875
60,2860000,1900,55440.296875
61,2860000,1930,54470.0
62,2860000,1960,54144.5
63,2860000,1990,55300.890625
64,2860000,2020,55569.796875
65,2860000,2050,55003.5
66,2860000,2080,54409.59375
67,2860000,2110,54171.390625
68,2860000,2140,54695.296875
69,2860000,2170,55245.40625
70,2860000,2200,55237.796875
71,2860000,2230,54690.703125
72,2860000,2260,54481.203125
73,2860000,2290,54730.796875
74,2860000,2320,54970.203125
75,2860000,2350,54795.59375
76,2860000,2380,54953.5
77,2860000,2410,54983.5
78,2860000,2440,55183.703125
79,2860000,2470,55475.40625
80,2860000,2500,55312.0
81,2860000,2530,54758.09375
82,2860000,2560,54407.40625
83,2860000,2590,53979.0
84,2860000,2620,54516.796875
85,2860000,2650,54665.203125
86,2860000,2680,54650.296875
87,2860000,2710,54809.59375
88,2860000,2740,55099.40625
89,2860000,2770,55516.796875
90,2860000,2800,55628.09375
91,2860000,2830,55332.40625
92,2860000,2860,54862.890625
93,2860000,2890,54560.203125
94,2860000,2920,54527.0
95,2860000,2950,54277.5
96,2860000,2980,54564.203125
97,2860000,3010,54625.90625
98,2860000,3040,54727.390625
99,2860000,3070,55057.09375
100,2860000,3100,55243.296875
101,2860000,3130,55167.703125
102,2860000,3160,55039.5
103,2860000,3190,54900.3125
104,2860000,3220,54906.796875
105,2860000,3250,54573.390625
106,2860000,3280,54859.09375
107,2860000,3310,54814.90625
108,2860000,3340,54954.5
109,2860000,3370,55046.390625
110,2860000,3400,55048.5
111,2860000,3430,54938.609375
112,2860000,3460,54777.703125
113,2860000,3490,54720.40625
114,2860000,3520,54620.796875
115,2860000,3550,55055.3125
116,2860000,3580,55066.0
117,2860000,3610,54967.203125
118,2860000,3640,54951.609375
119,2860000,3670,55164.59375
120,2860000,3700,55324.890625
121,2860000,3730,55193.40625
122,2860000,3760,54862.203125
123,2860000,3790,54555.0
124,2860000,3820,54614.796875
125,2860000,3850,54940.1875
126,2860000,3880,54777.40625
127,2860000,3910,54974.109375
128,2860000,3940,54947.609375
129,2860000,3970,54948.3125
130,2860000,4000,55101.0
131,2860000,4030,55361.0
132,2860000,4060,55247.203125
133,2860000,4090,54865.0
134,2860000,4120,54735.296875
135,2860000,4150,54584.703125
136,2860000,4180,55117.5
137,2860000,4210,55288.296875
138,2860000,4240,55148.203125
139,2860000,4270,54878.5
140,2860000,4300,54833.40625
141,2860000,4330,55042.5
142,2860000,4360,55186.6875
143,2860000,4390,55160.203125
144,2860000,4420,54992.1875
145,2860000,4450,54896.90625
146,2860000,4480,54957.203125
147,2860000,4510,54878.796875
148,2860000,4540,55348.90625
149,2860000,4570,55170.703125
150,2860000,4600,54983.890625
151,2860000,4630,54754.203125
152,2860000,4660,54781.59375
153,2860000,4690,54880.296875
154,2860000,4720,55017.203125
155,2860000,4750,55106.796875
156,2860000,4780,54742.09375
157,2860000,4810,55083.40625
158,2860000,4840,55223.90625
159,2860000,4870,55305.6875
160,2860000,4900,55233.296875
161,2860000,4930,55087.5
162,2860000,4960,54974.59375
163,2860000,4990,54799.5
164,2860000,5020,54813.1875
165,2860000,5050,55082.90625
166,2860000,5080,54942.796875
167,2860000,5110,55226.0
168,2860000,5140,55097.1875
169,2860000,5170,55020.90625
170,2860000,5200,55122.703125
171,2860000,5230,55190.203125
172,2860000,5260,55240.203125
173,2860000,5290,55082.703125
174,2860000,5320,54952.1875
175,2860000,5350,54967.609375
176,2860000,5380,55264.203125
177,2860000,5410,55050.703125
178,2860000,5440,55363.90625
179,2860000,5470,55108.09375
180,2860000,5500,54938.609375
181,2860000,5530,55001.0
182,2860000,5560,55158.890625
183,2860000,5590,55289.203125
184,2860000,5620,55197.59375
185,2860000,5650,55118.609375
186,2860000,5680,55113.5
187,2860000,5710,55239.0
188,2860000,5740,55417.0
189,2860000,5770,55000.5
190,2860000,5800,55162.296875
