,Frequency (kHz),Pulse duration (ns),Photoluminescence
0,2860000,100,11302.0
1,2860000,130,64427.609375
2,2860000,160,60538.1875
3,2860000,190,52275.890625
4,2860000,220,49072.40625
5,2860000,250,55687.59375
6,2860000,280,56094.6875
7,2860000,310,50449.703125
8,2860000,340,47169.0
9,2860000,370,52268.015625
10,2860000,400,53594.609375
11,2860000,430,53872.796875
12,2860000,460,51054.109375
13,2860000,490,50384.1875
14,2860000,520,52344.5
15,2860000,550,52573.8125
16,2860000,580,51108.21875
17,2860000,610,50641.09375
18,2860000,640,51982.09375
19,2860000,670,54206.5
20,2860000,700,53211.5
21,2860000,730,50587.0
22,2860000,760,48297.890625
23,2860000,790,49586.1875
24,2860000,820,52196.6875
25,2860000,850,53216.90625
26,2860000,880,52503.90625
27,2860000,910,51069.609375
28,2860000,940,51360.203125
29,2860000,970,52298.703125
30,2860000,1000,53035.09375
31,2860000,1030,51630.59375
32,2860000,1060,50215.09375
33,2860000,1090,49898.59375
34,2860000,1120,50809.6875
35,2860000,1150,52220.59375
36,2860000,1180,52521.5
37,2860000,1210,52424.5
38,2860000,1240,52084.109375
39,2860000,1270,51682.296875
40,2860000,1300,50779.59375
41,2860000,1330,51270.6875
42,2860000,1360,51527.296875
43,2860000,1390,51842.0
44,2860000,1420,51899.390625
45,2860000,1450,51566.59375
46,2860000,1480,51220.09375
47,2860000,1510,51439.1875
48,2860000,1540,51939.390625
49,2860000,1570,52106.109375
50,2860000,1600,51843.515625
51,2860000,1630,51348.5
52,2860000,1660,50881.90625
53,2860000,1690,51701.203125
54,2860000,1720,51943.90625
55,2860000,1750,51869.1875
56,2860000,1780,51488.390625
57,2860000,1810,51136.59375
58,2860000,1840,51079.015625
59,2860000,1870,51529.984375
60,2860000,1900,51961.109375
61,2860000,1930,52152.21875
62,2860000,1960,51421.390625
63,2860000,1990,51287.796875
64,2860000,2020,51089.21875
65,2860000,2050,51535.515625
66,2860000,2080,52006.40625
67,2860000,2110,51977.8125
68,2860000,2140,51520.109375
69,2860000,2170,51264.71875
70,2860000,2200,51331.5
71,2860000,2230,51376.109375
72,2860000,2260,51897.90625
73,2860000,2290,51568.59375
74,2860000,2320,51342.09375
75,2860000,2350,51570.21875
76,2860000,2380,51939.703125
77,2860000,2410,51884.3125
78,2860000,2440,51655.40625
79,2860000,2470,51455.890625
80,2860000,2500,51498.515625
81,2860000,2530,51128.0
82,2860000,2560,51497.984375
83,2860000,2590,51496.0
84,2860000,2620,51764.1875
85,2860000,2650,52153.796875
86,2860000,2680,52066.40625
87,2860000,2710,51516.0
88,2860000,2740,51123.703125
89,2860000,2770,51282.28125
90,2860000,2800,51752.90625
91,2860000,2830,51948.890625
92,2860000,2860,51693.609375
93,2860000,2890,50939.703125
94,2860000,2920,51623.296875
95,2860000,2950,52038.8125
96,2860000,2980,51986.90625
97,2860000,3010,51466.5
98,2860000,3040,51094.0
99,2860000,3070,51322.78125
100,2860000,3100,51766.8125
101,2860000,3130,52024.109375
102,2860000,3160,51456.609375
103,2860000,3190,51699.703125
104,2860000,3220,51617.796875
105,2860000,3250,51713.1875
106,2860000,3280,51656.40625
107,2860000,3310,51348.78125
108,2860000,3340,51431.109375
109,2860000,3370,51657.40625
110,2860000,3400,51912.796875
111,2860000,3430,51841.59375
112,2860000,3460,51726.203125
113,2860000,3490,51091.90625
114,2860000,3520,51757.109375
115,2860000,3550,51695.28125
116,2860000,3580,51593.609375
117,2860000,3610,51427.796875
118,2860000,3640,51534.296875
119,2860000,3670,51966.1875
120,2860000,3700,51998.296875
121,2860000,3730,51802.0
122,2860000,3760,51505.59375
123,2860000,3790,50937.90625
124,2860000,3820,51628.609375
125,2860000,3850,51749.6875
126,2860000,3880,51747.1875
127,2860000,3910,51766.015625
128,2860000,3940,51706.1875
129,2860000,3970,51821.703125
130,2860000,4000,51795.59375
131,2860000,4030,51658.1875
132,2860000,4060,51526.484375
133,2860000,4090,51491.28125
134,2860000,4120,51624.390625
135,2860000,4150,51266.59375
136,2860000,4180,51818.296875
137,2860000,4210,51824.984375
138,2860000,4240,51848.40625
139,2860000,4270,51712.21875
140,2860000,4300,51624.6875
141,2860000,4330,51545.5
142,2860000,4360,51625.5
143,2860000,4390,51770.8125
144,2860000,4420,51406.6875
145,2860000,4450,51764.78125
146,2860000,4480,51770.296875
147,2860000,4510,51666.390625
148,2860000,4540,51760.3125
149,2860000,4570,51734.09375
150,2860000,4600,51677.109375
151,2860000,4630,51629.703125
152,2860000,4660,51678.203125
153,2860000,4690,51821.484375
154,2860000,4720,51298.1875
