,Frequency (kHz),Pulse duration (ns),Photoluminescence
0,2860000,100,12087.390625
1,2860000,130,68251.40625
2,2860000,160,66397.203125
3,2860000,190,57163.40625
4,2860000,220,50252.703125
5,2860000,250,54032.703125
6,2860000,280,58157.59375
7,2860000,310,57532.0
8,2860000,340,54732.59375
9,2860000,370,57439.90625
10,2860000,400,58110.40625
11,2860000,430,55131.796875
12,2860000,460,52809.109375
13,2860000,490,54025.5
14,2860000,520,58037.09375
15,2860000,550,59553.390625
16,2860000,580,56716.609375
17,2860000,610,51211.703125
18,2860000,640,49670.203125
19,2860000,670,55542.59375
20,2860000,700,58675.890625
21,2860000,730,58393.703125
22,2860000,760,56089.703125
23,2860000,790,53230.203125
24,2860000,820,53766.0
25,2860000,850,55520.09375
26,2860000,880,56239.296875
27,2860000,910,55874.203125
28,2860000,940,55512.203125
29,2860000,970,55940.90625
30,2860000,1000,55389.90625
31,2860000,1030,54907.109375
32,2860000,1060,54512.3125
33,2860000,1090,55346.40625
34,2860000,1120,56547.609375
35,2860000,1150,57027.09375
36,2860000,1180,55478.296875
37,2860000,1210,53589.203125
38,2860000,1240,53671.59375
39,2860000,1270,55825.1875
40,2860000,1300,56620.09375
41,2860000,1330,56561.703125
42,2860000,1360,55160.09375
43,2860000,1390,54086.09375
44,2860000,1420,54896.1875
45,2860000,1450,55914.59375
46,2860000,1480,56022.890625
47,2860000,1510,55350.5
48,2860000,1540,55201.296875
49,2860000,1570,55261.5
50,2860000,1600,55859.203125
51,2860000,1630,55359.09375
52,2860000,1660,54897.59375
53,2860000,1690,55218.390625
54,2860000,1720,55867.59375
55,2860000,1750,56133.90625
56,2860000,1780,55439.5
57,2860000,1810,54584.109375
58,2860000,1840,54789.09375
59,2860000,1870,55833.8125
60,2860000,1900,56165.703125
61,2860000,1930,55618.59375
62,2860000,1960,54536.90625
63,2860000,1990,54919.1875
64,2860000,2020,55560.5
65,2860000,2050,55909.296875
66,2860000,2080,55660.109375
67,2860000,2110,55076.8125
68,2860000,2140,55059.296875
69,2860000,2170,55641.1875
70,2860000,2200,55807.203125
71,2860000,2230,55510.296875
72,2860000,2260,54588.59375
73,2860000,2290,55218.203125
74,2860000,2320,55607.8125
75,2860000,2350,55820.890625
76,2860000,2380,55567.296875
77,2860000,2410,55141.59375
78,2860000,2440,55255.59375
79,2860000,2470,55658.0
80,2860000,2500,55657.90625
81,2860000,2530,55406.0
82,2860000,2560,54663.390625
83,2860000,2590,55295.5
84,2860000,2620,55679.0
85,2860000,2650,55670.90625
