,Frequency (kHz),Pulse duration (ns),Photoluminescence
0,2860000,100,9399.90625
1,2860000,130,69910.1875
2,2860000,160,74828.390625
3,2860000,190,65418.90625
4,2860000,220,49844.8125
5,2860000,250,58189.609375
6,2860000,280,66640.890625
7,2860000,310,66937.796875
8,2860000,340,58964.296875
9,2860000,370,50272.09375
10,2860000,400,52627.6875
11,2860000,430,60905.6875
12,2860000,460,63868.015625
13,2860000,490,60488.890625
14,2860000,520,55650.0
15,2860000,550,52679.40625
16,2860000,580,55026.8125
17,2860000,610,58781.0
18,2860000,640,60444.21875
19,2860000,670,59522.90625
20,2860000,700,58379.90625
21,2860000,730,58123.28125
22,2860000,760,58509.59375
23,2860000,790,58017.5
24,2860000,820,57323.6875
25,2860000,850,56391.390625
26,2860000,880,56291.6875
27,2860000,910,56386.5
28,2860000,940,56648.296875
29,2860000,970,56484.40625
30,2860000,1000,57089.6875
31,2860000,1030,58633.8125
32,2860000,1060,59196.21875
33,2860000,1090,59143.984375
34,2860000,1120,57871.90625
35,2860000,1150,56608.390625
36,2860000,1180,56705.796875
37,2860000,1210,57290.796875
38,2860000,1240,57393.90625
39,2860000,1270,57398.90625
40,2860000,1300,56765.703125
41,2860000,1330,56433.3125
42,2860000,1360,56664.296875
43,2860000,1390,57439.21875
44,2860000,1420,58019.109375
45,2860000,1450,58352.6875
46,2860000,1480,57890.984375
47,2860000,1510,57644.40625
48,2860000,1540,57055.0
49,2860000,1570,56970.515625
50,2860000,1600,57621.09375
51,2860000,1630,58260.609375
52,2860000,1660,57955.40625
53,2860000,1690,56637.90625
54,2860000,1720,55561.296875
55,2860000,1750,55377.6875
56,2860000,1780,57315.296875
57,2860000,1810,58962.28125
58,2860000,1840,58967.6875
59,2860000,1870,57341.5
60,2860000,1900,56178.8125
61,2860000,1930,56535.3125
62,2860000,1960,58052.21875
63,2860000,1990,59057.1875
64,2860000,2020,58035.0
65,2860000,2050,55900.3125
66,2860000,2080,55233.6875
67,2860000,2110,56418.3125
68,2860000,2140,58508.984375
69,2860000,2170,58963.296875
70,2860000,2200,57851.203125
71,2860000,2230,55947.0
72,2860000,2260,55915.09375
73,2860000,2290,57404.3125
74,2860000,2320,58660.0
75,2860000,2350,58634.59375
76,2860000,2380,57427.09375
77,2860000,2410,56149.796875
78,2860000,2440,56832.40625
79,2860000,2470,57884.609375
80,2860000,2500,58279.0
81,2860000,2530,57439.609375
82,2860000,2560,56428.40625
83,2860000,2590,56031.78125
84,2860000,2620,56810.59375
85,2860000,2650,57966.890625
86,2860000,2680,57965.015625
87,2860000,2710,57885.40625
88,2860000,2740,57505.109375
89,2860000,2770,57440.40625
90,2860000,2800,57640.390625
91,2860000,2830,57550.890625
92,2860000,2860,57159.390625
93,2860000,2890,56753.59375
94,2860000,2920,56756.109375
95,2860000,2950,57187.515625
96,2860000,2980,57497.3125
97,2860000,3010,57649.90625
98,2860000,3040,57658.203125
99,2860000,3070,57432.703125
100,2860000,3100,57683.6875
101,2860000,3130,57595.0
102,2860000,3160,57384.3125
103,2860000,3190,57103.296875
104,2860000,3220,57137.59375
105,2860000,3250,57434.3125
106,2860000,3280,57614.015625
107,2860000,3310,57576.015625
108,2860000,3340,57418.5
109,2860000,3370,56890.1875
110,2860000,3400,57436.515625
111,2860000,3430,57513.28125
112,2860000,3460,57493.609375
113,2860000,3490,57382.5
114,2860000,3520,57234.3125
115,2860000,3550,57466.1875
116,2860000,3580,57646.6875
117,2860000,3610,57839.21875
118,2860000,3640,57729.1875
119,2860000,3670,57071.40625
120,2860000,3700,57249.40625
121,2860000,3730,57110.09375
122,2860000,3760,57199.0
123,2860000,3790,57364.09375
124,2860000,3820,57525.5
125,2860000,3850,57563.5
126,2860000,3880,57515.390625
127,2860000,3910,57581.1875
128,2860000,3940,57285.1875
129,2860000,3970,57726.09375
130,2860000,4000,57629.5
131,2860000,4030,57461.6875
132,2860000,4060,57242.703125
133,2860000,4090,57170.90625
134,2860000,4120,57295.0
135,2860000,4150,57685.609375
136,2860000,4180,57782.6875
137,2860000,4210,57604.40625
138,2860000,4240,57151.296875
139,2860000,4270,57255.3125
140,2860000,4300,57371.40625
141,2860000,4330,57723.484375
142,2860000,4360,57734.3125
143,2860000,4390,57573.1875
144,2860000,4420,57370.09375
145,2860000,4450,57421.71875
146,2860000,4480,57554.390625
147,2860000,4510,57806.609375
148,2860000,4540,57632.984375
149,2860000,4570,57382.515625
150,2860000,4600,56883.703125
151,2860000,4630,57221.203125
152,2860000,4660,57611.796875
153,2860000,4690,57848.40625
154,2860000,4720,57771.90625
155,2860000,4750,57600.515625
156,2860000,4780,57514.1875
157,2860000,4810,57626.984375
158,2860000,4840,57579.296875
159,2860000,4870,57223.90625
160,2860000,4900,57405.90625
161,2860000,4930,57342.0
162,2860000,4960,57467.28125
163,2860000,4990,57563.59375
164,2860000,5020,57676.984375
165,2860000,5050,57712.296875
166,2860000,5080,57686.6875
167,2860000,5110,57706.609375
168,2860000,5140,57617.28125
169,2860000,5170,57471.796875
170,2860000,5200,57388.6875
171,2860000,5230,57156.1875
172,2860000,5260,57600.09375
173,2860000,5290,57801.796875
174,2860000,5320,57774.40625
175,2860000,5350,57556.78125
176,2860000,5380,57485.109375
177,2860000,5410,57484.296875
178,2860000,5440,57613.59375
179,2860000,5470,57734.5
180,2860000,5500,57330.515625
181,2860000,5530,57457.59375
182,2860000,5560,57465.5
183,2860000,5590,57666.390625
184,2860000,5620,57848.0
185,2860000,5650,57833.109375
186,2860000,5680,57772.78125
187,2860000,5710,57486.796875
188,2860000,5740,57377.609375
189,2860000,5770,57491.59375
190,2860000,5800,57697.59375
191,2860000,5830,57809.109375
192,2860000,5860,57444.203125
193,2860000,5890,57608.8125
194,2860000,5920,57568.90625
195,2860000,5950,57708.484375
196,2860000,5980,57852.703125
