,Frequency (kHz),Pulse duration (ns),Photoluminescence
0,2860000,100,6897.609375
1,2860000,130,57269.703125
2,2860000,160,63610.296875
3,2860000,190,54012.90625
4,2860000,220,38984.40625
5,2860000,250,45778.40625
6,2860000,280,54159.09375
7,2860000,310,54742.0
8,2860000,340,47060.109375
9,2860000,370,39519.90625
10,2860000,400,41953.40625
11,2860000,430,49218.796875
12,2860000,460,51788.6875
13,2860000,490,48543.90625
14,2860000,520,44042.703125
15,2860000,550,42206.703125
16,2860000,580,44559.609375
17,2860000,610,47180.390625
18,2860000,640,48169.0
19,2860000,670,47312.0
20,2860000,700,46861.203125
21,2860000,730,47245.609375
22,2860000,760,47229.703125
23,2860000,790,45556.203125
24,2860000,820,44169.5
25,2860000,850,44315.296875
26,2860000,880,44943.90625
27,2860000,910,45988.5
28,2860000,940,45803.203125
29,2860000,970,44882.90625
30,2860000,1000,45153.703125
31,2860000,1030,46858.203125
32,2860000,1060,47946.203125
33,2860000,1090,47890.90625
34,2860000,1120,46406.203125
35,2860000,1150,44067.90625
36,2860000,1180,43755.609375
37,2860000,1210,45094.296875
38,2860000,1240,46186.0
39,2860000,1270,46534.90625
40,2860000,1300,45722.3125
41,2860000,1330,44750.890625
42,2860000,1360,44648.890625
43,2860000,1390,45814.296875
44,2860000,1420,46934.203125
45,2860000,1450,47155.6875
46,2860000,1480,46689.296875
47,2860000,1510,45221.0
48,2860000,1540,44541.90625
49,2860000,1570,45214.890625
50,2860000,1600,46382.796875
51,2860000,1630,46974.59375
52,2860000,1660,46031.109375
53,2860000,1690,44133.890625
54,2860000,1720,43549.59375
55,2860000,1750,44981.296875
56,2860000,1780,46921.40625
57,2860000,1810,47720.796875
58,2860000,1840,46633.796875
59,2860000,1870,44710.296875
60,2860000,1900,44227.40625
61,2860000,1930,45524.109375
62,2860000,1960,46806.703125
63,2860000,1990,46828.0
64,2860000,2020,45392.796875
65,2860000,2050,43944.890625
66,2860000,2080,43805.109375
67,2860000,2110,45724.8125
68,2860000,2140,46878.5
69,2860000,2170,46712.296875
70,2860000,2200,45186.59375
71,2860000,2230,44438.09375
72,2860000,2260,45040.0
73,2860000,2290,46335.0
74,2860000,2320,46714.5
75,2860000,2350,46014.90625
76,2860000,2380,45200.703125
77,2860000,2410,45158.296875
78,2860000,2440,45393.5
79,2860000,2470,45958.109375
80,2860000,2500,45534.796875
81,2860000,2530,44894.40625
82,2860000,2560,44966.40625
83,2860000,2590,45804.0
84,2860000,2620,46382.0
85,2860000,2650,46297.90625
86,2860000,2680,45939.09375
87,2860000,2710,45589.5
88,2860000,2740,46081.90625
89,2860000,2770,45939.796875
90,2860000,2800,45622.203125
91,2860000,2830,44893.09375
92,2860000,2860,44910.0
93,2860000,2890,45644.3125
94,2860000,2920,46316.609375
95,2860000,2950,46424.90625
96,2860000,2980,45958.203125
97,2860000,3010,45280.3125
98,2860000,3040,45649.5
99,2860000,3070,46084.296875
100,2860000,3100,46090.796875
101,2860000,3130,45622.5
102,2860000,3160,45205.203125
103,2860000,3190,45314.203125
104,2860000,3220,45787.609375
105,2860000,3250,46330.796875
106,2860000,3280,46317.0
107,2860000,3310,45752.59375
108,2860000,3340,45368.40625
109,2860000,3370,45280.0
110,2860000,3400,45773.09375
111,2860000,3430,46043.09375
112,2860000,3460,46018.0
113,2860000,3490,45773.296875
114,2860000,3520,45696.40625
115,2860000,3550,45892.40625
116,2860000,3580,46010.203125
117,2860000,3610,46021.203125
118,2860000,3640,45868.296875
119,2860000,3670,45548.890625
120,2860000,3700,45217.0
121,2860000,3730,45639.40625
122,2860000,3760,45967.390625
123,2860000,3790,46165.90625
124,2860000,3820,46207.40625
125,2860000,3850,45967.6875
126,2860000,3880,45758.390625
127,2860000,3910,45743.90625
128,2860000,3940,45855.5
129,2860000,3970,45945.890625
130,2860000,4000,45876.703125
131,2860000,4030,45537.203125
132,2860000,4060,45680.0
133,2860000,4090,45921.3125
134,2860000,4120,46071.6875
135,2860000,4150,46148.90625
136,2860000,4180,46050.796875
137,2860000,4210,45700.390625
138,2860000,4240,45693.90625
139,2860000,4270,45818.296875
140,2860000,4300,46008.8125
141,2860000,4330,46079.40625
142,2860000,4360,45816.0
143,2860000,4390,45894.703125
144,2860000,4420,45895.8125
