,Frequency (kHz),Pulse duration (ns),Photoluminescence
0,2860000,100,8298.203125
1,2860000,130,58445.109375
2,2860000,160,58254.40625
3,2860000,190,53525.5
4,2860000,220,43749.796875
5,2860000,250,47342.40625
6,2860000,280,48986.90625
7,2860000,310,49173.09375
8,2860000,340,46971.890625
9,2860000,370,45419.09375
10,2860000,400,49025.8125
11,2860000,430,51130.296875
12,2860000,460,49531.203125
13,2860000,490,45762.890625
14,2860000,520,43363.203125
15,2860000,550,46864.59375
16,2860000,580,50619.203125
17,2860000,610,50952.0
18,2860000,640,48606.3125
19,2860000,670,43474.296875
20,2860000,700,43406.59375
21,2860000,730,46937.796875
22,2860000,760,48841.5
23,2860000,790,48858.796875
24,2860000,820,47209.203125
25,2860000,850,45893.109375
26,2860000,880,46676.296875
27,2860000,910,48757.0
28,2860000,940,48452.296875
29,2860000,970,47047.203125
30,2860000,1000,45155.09375
31,2860000,1030,45327.0
32,2860000,1060,47350.90625
33,2860000,1090,48647.296875
34,2860000,1120,48420.890625
35,2860000,1150,47129.90625
36,2860000,1180,46603.0
37,2860000,1210,47355.0
38,2860000,1240,47851.59375
39,2860000,1270,47299.90625
40,2860000,1300,45876.203125
41,2860000,1330,46011.703125
42,2860000,1360,46932.890625
43,2860000,1390,48625.40625
44,2860000,1420,48721.90625
45,2860000,1450,47198.1875
46,2860000,1480,45783.5
47,2860000,1510,45540.1875
48,2860000,1540,46814.703125
49,2860000,1570,47896.40625
50,2860000,1600,48502.796875
51,2860000,1630,47298.40625
52,2860000,1660,46347.59375
53,2860000,1690,46359.390625
54,2860000,1720,47028.703125
55,2860000,1750,47596.703125
56,2860000,1780,47240.296875
57,2860000,1810,46940.59375
58,2860000,1840,47018.59375
59,2860000,1870,47604.59375
60,2860000,1900,47583.796875
61,2860000,1930,46631.5
62,2860000,1960,46584.296875
63,2860000,1990,46772.09375
64,2860000,2020,47389.5
65,2860000,2050,47969.0
66,2860000,2080,47743.5
67,2860000,2110,46788.390625
68,2860000,2140,46252.09375
69,2860000,2170,46684.5
70,2860000,2200,47420.09375
71,2860000,2230,47479.703125
72,2860000,2260,47561.609375
73,2860000,2290,46967.90625
74,2860000,2320,46808.90625
75,2860000,2350,47121.8125
76,2860000,2380,47393.609375
77,2860000,2410,47342.203125
78,2860000,2440,47156.40625
79,2860000,2470,47146.09375
80,2860000,2500,46924.0
81,2860000,2530,47430.703125
82,2860000,2560,47344.5
83,2860000,2590,47074.0
84,2860000,2620,46916.5
85,2860000,2650,47199.40625
86,2860000,2680,47442.5
87,2860000,2710,47546.59375
88,2860000,2740,47258.6875
89,2860000,2770,46960.390625
90,2860000,2800,46998.59375
91,2860000,2830,47161.390625
92,2860000,2860,46943.296875
93,2860000,2890,47277.90625
94,2860000,2920,47140.796875
95,2860000,2950,47210.796875
96,2860000,2980,47417.5
97,2860000,3010,47455.40625
98,2860000,3040,47334.40625
99,2860000,3070,47021.109375
100,2860000,3100,46879.296875
101,2860000,3130,46969.0
102,2860000,3160,47295.796875
103,2860000,3190,47233.90625
104,2860000,3220,47605.1875
105,2860000,3250,47468.40625
106,2860000,3280,47229.203125
107,2860000,3310,47043.0
108,2860000,3340,46945.59375
109,2860000,3370,47066.09375
110,2860000,3400,47212.609375
111,2860000,3430,47513.6875
