,Frequency (kHz),Pulse duration (ns),Photoluminescence
0,2860000,100,8761.0
1,2860000,130,55298.703125
2,2860000,160,53215.601562
3,2860000,190,49644.101562
4,2860000,220,39164.601562
5,2860000,250,37711.601562
6,2860000,280,45391.898438
7,2860000,310,49265.0
8,2860000,340,47961.195312
9,2860000,370,43629.5
10,2860000,400,40895.203125
11,2860000,430,43608.5
12,2860000,460,46313.40625
13,2860000,490,47506.695312
14,2860000,520,46281.398438
15,2860000,550,43011.0
16,2860000,580,42090.5
17,2860000,610,43214.703125
18,2860000,640,44498.296875
19,2860000,670,45357.09375
20,2860000,700,45038.398438
21,2860000,730,43826.101562
22,2860000,760,44135.398438
23,2860000,790,44518.203125
24,2860000,820,44536.695312
25,2860000,850,44175.101562
26,2860000,880,43660.601562
27,2860000,910,43929.5
28,2860000,940,44758.195312
29,2860000,970,45275.398438
30,2860000,1000,44975.5
31,2860000,1030,43677.203125
32,2860000,1060,43494.898438
33,2860000,1090,43772.296875
34,2860000,1120,44490.296875
35,2860000,1150,45113.40625
36,2860000,1180,44749.804688
37,2860000,1210,44026.304688
38,2860000,1240,43700.0
39,2860000,1270,43985.398438
40,2860000,1300,44486.898438
41,2860000,1330,44811.304688
42,2860000,1360,44594.304688
43,2860000,1390,43683.703125
44,2860000,1420,44049.5
45,2860000,1450,44332.796875
46,2860000,1480,44487.898438
47,2860000,1510,44464.398438
48,2860000,1540,44167.09375
49,2860000,1570,44004.5
50,2860000,1600,44165.703125
51,2860000,1630,44626.101562
52,2860000,1660,44579.796875
53,2860000,1690,43972.90625
54,2860000,1720,44000.101562
55,2860000,1750,43797.5
56,2860000,1780,43998.203125
57,2860000,1810,44451.195312
58,2860000,1840,44627.296875
59,2860000,1870,44323.304688
60,2860000,1900,43982.0
61,2860000,1930,43749.898438
62,2860000,1960,43590.59375
63,2860000,1990,44377.5
64,2860000,2020,44576.203125
65,2860000,2050,44336.898438
66,2860000,2080,44056.90625
67,2860000,2110,43928.304688
68,2860000,2140,44160.304688
69,2860000,2170,44397.398438
70,2860000,2200,44545.90625
71,2860000,2230,44480.898438
