,Frequency (kHz),Pulse duration (ns),Photoluminescence
0,2860000,100,9824.796875
1,2860000,130,57185.296875
2,2860000,160,52301.296875
3,2860000,190,50081.09375
4,2860000,220,41594.890625
5,2860000,250,41859.0
6,2860000,280,46265.09375
7,2860000,310,49252.0
8,2860000,340,48025.203125
9,2860000,370,44926.109375
10,2860000,400,44826.390625
11,2860000,430,46416.390625
12,2860000,460,46909.0
13,2860000,490,46441.203125
14,2860000,520,46040.8125
15,2860000,550,45102.296875
16,2860000,580,46347.5
17,2860000,610,46536.09375
18,2860000,640,45794.296875
19,2860000,670,44836.90625
20,2860000,700,44419.609375
21,2860000,730,45713.09375
22,2860000,760,47256.796875
23,2860000,790,47123.203125
24,2860000,820,46221.40625
25,2860000,850,44452.3125
26,2860000,880,44063.296875
27,2860000,910,45462.3125
28,2860000,940,46991.890625
29,2860000,970,47351.09375
30,2860000,1000,46511.90625
31,2860000,1030,44805.109375
32,2860000,1060,44029.296875
33,2860000,1090,45818.0
34,2860000,1120,46728.0
35,2860000,1150,46777.109375
36,2860000,1180,45922.609375
37,2860000,1210,44877.90625
38,2860000,1240,44893.0
39,2860000,1270,45970.0
40,2860000,1300,46581.703125
41,2860000,1330,46324.3125
42,2860000,1360,45708.0
43,2860000,1390,45207.40625
44,2860000,1420,45019.1875
45,2860000,1450,46231.203125
46,2860000,1480,46535.0
47,2860000,1510,46202.296875
48,2860000,1540,45632.0
49,2860000,1570,45320.8125
50,2860000,1600,45694.1875
51,2860000,1630,46187.390625
52,2860000,1660,46360.0
53,2860000,1690,45586.5
54,2860000,1720,45866.09375
55,2860000,1750,45759.609375
56,2860000,1780,45835.203125
57,2860000,1810,45968.109375
58,2860000,1840,45830.390625
59,2860000,1870,45718.59375
60,2860000,1900,45802.703125
61,2860000,1930,45942.890625
62,2860000,1960,45968.296875
63,2860000,1990,45811.0
64,2860000,2020,45669.5
65,2860000,2050,45069.09375
66,2860000,2080,45768.609375
67,2860000,2110,46051.6875
68,2860000,2140,46180.5
69,2860000,2170,45877.90625
70,2860000,2200,45577.5
71,2860000,2230,45602.703125
72,2860000,2260,45867.6875
73,2860000,2290,46096.109375
74,2860000,2320,46145.0
75,2860000,2350,45450.59375
76,2860000,2380,45634.0
77,2860000,2410,45578.59375
78,2860000,2440,45723.09375
79,2860000,2470,45957.703125
80,2860000,2500,46073.296875
81,2860000,2530,45975.390625
82,2860000,2560,45806.703125
83,2860000,2590,45616.703125
84,2860000,2620,45221.890625
85,2860000,2650,45908.109375
86,2860000,2680,45957.203125
87,2860000,2710,46054.90625
88,2860000,2740,45918.109375
89,2860000,2770,45766.203125
90,2860000,2800,45701.703125
91,2860000,2830,45681.59375
92,2860000,2860,45860.703125
93,2860000,2890,45974.609375
94,2860000,2920,46004.5
95,2860000,2950,45900.796875
96,2860000,2980,45245.203125
97,2860000,3010,45706.3125
98,2860000,3040,45828.0
99,2860000,3070,45940.203125
100,2860000,3100,45969.5
101,2860000,3130,45960.390625
102,2860000,3160,45864.5
103,2860000,3190,45726.203125
104,2860000,3220,45787.0
105,2860000,3250,45365.0
106,2860000,3280,45911.90625
107,2860000,3310,45927.109375
108,2860000,3340,45911.796875
109,2860000,3370,45913.109375
110,2860000,3400,45821.203125
111,2860000,3430,45802.40625
112,2860000,3460,45825.296875
113,2860000,3490,45844.296875
114,2860000,3520,45932.296875
115,2860000,3550,45995.296875
116,2860000,3580,45930.0
117,2860000,3610,45314.09375
118,2860000,3640,45760.203125
119,2860000,3670,45813.703125
120,2860000,3700,45871.796875
121,2860000,3730,45988.90625
122,2860000,3760,45924.296875
123,2860000,3790,45870.0
124,2860000,3820,45782.40625
125,2860000,3850,45804.109375
126,2860000,3880,45395.703125
127,2860000,3910,45910.703125
128,2860000,3940,45893.796875
129,2860000,3970,45864.203125
130,2860000,4000,45883.90625
131,2860000,4030,45954.703125
132,2860000,4060,45930.203125
133,2860000,4090,45903.703125
134,2860000,4120,45819.390625
135,2860000,4150,45839.109375
136,2860000,4180,45923.40625
137,2860000,4210,45964.8125
138,2860000,4240,45472.40625
139,2860000,4270,45849.90625
140,2860000,4300,45761.59375
141,2860000,4330,45797.796875
142,2860000,4360,45837.203125
143,2860000,4390,45954.796875
144,2860000,4420,45997.0
145,2860000,4450,45944.40625
146,2860000,4480,45908.0
147,2860000,4510,45836.890625
148,2860000,4540,45310.6875
149,2860000,4570,45814.703125
150,2860000,4600,45954.390625
151,2860000,4630,45924.109375
152,2860000,4660,45946.703125
153,2860000,4690,45975.90625
154,2860000,4720,45921.5
155,2860000,4750,45759.890625
156,2860000,4780,45793.703125
157,2860000,4810,45337.796875
158,2860000,4840,45949.8125
159,2860000,4870,46039.3125
160,2860000,4900,45924.203125
161,2860000,4930,45853.796875
162,2860000,4960,45739.40625
163,2860000,4990,45805.203125
164,2860000,5020,45986.390625
165,2860000,5050,46010.703125
166,2860000,5080,46056.59375
167,2860000,5110,45898.296875
168,2860000,5140,45786.390625
169,2860000,5170,45343.0
170,2860000,5200,45889.09375
171,2860000,5230,45980.609375
172,2860000,5260,45937.5
173,2860000,5290,45981.109375
174,2860000,5320,45923.296875
175,2860000,5350,45805.609375
176,2860000,5380,45870.5
177,2860000,5410,45909.890625
178,2860000,5440,45937.703125
179,2860000,5470,45968.1875
180,2860000,5500,45469.5
181,2860000,5530,45963.5
182,2860000,5560,45999.890625
183,2860000,5590,45887.390625
184,2860000,5620,45861.890625
185,2860000,5650,45907.796875
186,2860000,5680,45939.5
187,2860000,5710,46007.609375
188,2860000,5740,46034.296875
189,2860000,5770,45878.0
190,2860000,5800,45388.5
191,2860000,5830,45881.59375
192,2860000,5860,45950.796875
193,2860000,5890,45988.703125
194,2860000,5920,45999.90625
195,2860000,5950,45879.703125
196,2860000,5980,45836.203125
197,2860000,6010,45893.0
198,2860000,6040,45889.203125
199,2860000,6070,45483.109375
200,2860000,6100,45961.796875
201,2860000,6130,46349.59375
202,2860000,6160,45388.296875
203,2860000,6190,45953.296875
204,2860000,6220,45967.59375
205,2860000,6250,45940.609375
206,2860000,6280,45941.203125
207,2860000,6310,45894.796875
208,2860000,6340,45912.609375
209,2860000,6370,45499.703125
210,2860000,6400,45996.203125
211,2860000,6430,45944.5
212,2860000,6460,45902.796875
213,2860000,6490,45890.0
214,2860000,6520,45885.09375
215,2860000,6550,45972.5
216,2860000,6580,45947.796875
217,2860000,6610,45931.09375
218,2860000,6640,45896.203125
219,2860000,6670,45930.890625
220,2860000,6700,45963.09375
221,2860000,6730,45453.703125
222,2860000,6760,45978.1875
223,2860000,6790,45986.6875
224,2860000,6820,45909.796875
225,2860000,6850,45963.0
226,2860000,6880,45977.796875
227,2860000,6910,45991.796875
228,2860000,6940,45917.390625
229,2860000,6970,45944.40625
230,2860000,7000,45456.109375
231,2860000,7030,46001.703125
232,2860000,7060,46009.0
233,2860000,7090,45973.5
234,2860000,7120,45974.40625
235,2860000,7150,45910.0
236,2860000,7180,45937.109375
237,2860000,7210,45963.8125
238,2860000,7240,46025.203125
239,2860000,7270,45956.0
240,2860000,7300,45975.703125
241,2860000,7330,45926.796875
242,2860000,7360,45449.703125
243,2860000,7390,46012.296875
244,2860000,7420,45991.890625
245,2860000,7450,46055.890625
246,2860000,7480,46007.40625
