,Frequency (kHz),Pulse duration (ns),Photoluminescence
0,2860000,100,7754.59375
1,2860000,130,58866.8125
2,2860000,160,62823.296875
3,2860000,190,54227.1875
4,2860000,220,41124.40625
5,2860000,250,48829.609375
6,2860000,280,56143.6875
7,2860000,310,55824.703125
8,2860000,340,48534.0
9,2860000,370,41250.90625
10,2860000,400,43622.296875
11,2860000,430,51118.40625
12,2860000,460,53274.90625
13,2860000,490,50075.203125
14,2860000,520,45783.609375
15,2860000,550,43340.296875
16,2860000,580,45852.609375
17,2860000,610,49263.796875
18,2860000,640,50360.890625
19,2860000,670,49222.703125
20,2860000,700,48372.703125
21,2860000,730,48267.1875
22,2860000,760,48508.6875
23,2860000,790,48531.703125
24,2860000,820,48046.59375
25,2860000,850,47400.09375
26,2860000,880,46621.703125
27,2860000,910,46382.609375
28,2860000,940,46317.5
29,2860000,970,46614.390625
30,2860000,1000,47711.3125
31,2860000,1030,49157.109375
32,2860000,1060,49206.09375
33,2860000,1090,48556.203125
34,2860000,1120,47426.5
35,2860000,1150,47362.0
36,2860000,1180,48120.390625
37,2860000,1210,48334.703125
38,2860000,1240,47731.203125
39,2860000,1270,46642.90625
40,2860000,1300,46314.3125
41,2860000,1330,47093.0
42,2860000,1360,48014.6875
43,2860000,1390,48182.40625
44,2860000,1420,47890.6875
45,2860000,1450,47523.59375
46,2860000,1480,47475.703125
47,2860000,1510,48164.890625
48,2860000,1540,48162.390625
49,2860000,1570,47839.1875
50,2860000,1600,47818.0
51,2860000,1630,47882.296875
52,2860000,1660,47830.390625
53,2860000,1690,47244.09375
54,2860000,1720,46637.40625
55,2860000,1750,46496.296875
56,2860000,1780,47431.890625
57,2860000,1810,48199.40625
58,2860000,1840,48521.703125
59,2860000,1870,47439.59375
60,2860000,1900,46936.203125
61,2860000,1930,47397.109375
62,2860000,1960,48445.203125
63,2860000,1990,48807.0
64,2860000,2020,47900.390625
65,2860000,2050,46260.90625
66,2860000,2080,46094.796875
67,2860000,2110,47500.09375
68,2860000,2140,48511.390625
69,2860000,2170,48698.609375
70,2860000,2200,47509.90625
71,2860000,2230,46195.5
72,2860000,2260,46623.703125
73,2860000,2290,48036.703125
74,2860000,2320,48832.609375
75,2860000,2350,48259.609375
76,2860000,2380,47082.90625
77,2860000,2410,46773.5
78,2860000,2440,47221.796875
79,2860000,2470,48622.6875
80,2860000,2500,48541.390625
81,2860000,2530,47375.40625
82,2860000,2560,46412.296875
83,2860000,2590,46427.09375
84,2860000,2620,47260.09375
85,2860000,2650,48221.703125
86,2860000,2680,47958.796875
87,2860000,2710,47851.09375
88,2860000,2740,47534.109375
89,2860000,2770,47634.0
90,2860000,2800,48006.203125
91,2860000,2830,48105.703125
92,2860000,2860,47715.09375
93,2860000,2890,47059.8125
94,2860000,2920,46775.40625
95,2860000,2950,46990.609375
96,2860000,2980,47496.703125
97,2860000,3010,47810.0
98,2860000,3040,47589.890625
99,2860000,3070,47887.40625
100,2860000,3100,47754.90625
101,2860000,3130,47742.296875
102,2860000,3160,47622.5
103,2860000,3190,47639.59375
104,2860000,3220,47579.40625
105,2860000,3250,47560.796875
106,2860000,3280,47455.203125
107,2860000,3310,47125.390625
108,2860000,3340,47556.796875
109,2860000,3370,47782.40625
110,2860000,3400,47783.90625
111,2860000,3430,47605.5
112,2860000,3460,47359.0
113,2860000,3490,47229.90625
114,2860000,3520,47448.890625
115,2860000,3550,47739.09375
116,2860000,3580,47856.703125
117,2860000,3610,47771.609375
118,2860000,3640,47669.296875
119,2860000,3670,47335.09375
120,2860000,3700,47698.5
121,2860000,3730,47684.09375
122,2860000,3760,47497.59375
123,2860000,3790,47362.8125
124,2860000,3820,47351.109375
125,2860000,3850,47606.1875
126,2860000,3880,47776.609375
127,2860000,3910,47902.09375
128,2860000,3940,47487.296875
129,2860000,3970,47766.09375
130,2860000,4000,47784.890625
131,2860000,4030,47672.59375
132,2860000,4060,47599.5
133,2860000,4090,47530.890625
134,2860000,4120,47592.0
135,2860000,4150,47766.0
136,2860000,4180,47721.203125
137,2860000,4210,47683.90625
138,2860000,4240,47701.40625
139,2860000,4270,47694.296875
140,2860000,4300,47483.796875
141,2860000,4330,47757.5
142,2860000,4360,47697.5
143,2860000,4390,47519.0
144,2860000,4420,47639.390625
145,2860000,4450,47868.296875
146,2860000,4480,48062.0
147,2860000,4510,47964.0
148,2860000,4540,47695.59375
149,2860000,4570,47220.109375
150,2860000,4600,47478.296875
151,2860000,4630,47738.90625
152,2860000,4660,47928.8125
153,2860000,4690,47791.90625
154,2860000,4720,47639.203125
155,2860000,4750,47731.890625
156,2860000,4780,47934.1875
157,2860000,4810,48113.59375
158,2860000,4840,48056.5
159,2860000,4870,47410.703125
160,2860000,4900,47550.703125
161,2860000,4930,47492.796875
162,2860000,4960,47704.09375
163,2860000,4990,47867.203125
164,2860000,5020,47916.296875
165,2860000,5050,47757.09375
166,2860000,5080,47715.59375
167,2860000,5110,47861.796875
168,2860000,5140,47925.1875
169,2860000,5170,47879.0
170,2860000,5200,47862.5
171,2860000,5230,47361.09375
172,2860000,5260,47676.3125
173,2860000,5290,47687.59375
174,2860000,5320,47896.796875
175,2860000,5350,47934.203125
176,2860000,5380,47885.90625
177,2860000,5410,47850.703125
178,2860000,5440,47778.40625
179,2860000,5470,47692.609375
180,2860000,5500,47533.609375
181,2860000,5530,47829.8125
182,2860000,5560,47828.109375
183,2860000,5590,47878.1875
184,2860000,5620,47773.203125
185,2860000,5650,47841.203125
186,2860000,5680,47929.90625
187,2860000,5710,47934.5
188,2860000,5740,47884.0
189,2860000,5770,47781.109375
190,2860000,5800,47687.8125
191,2860000,5830,47715.796875
192,2860000,5860,47797.8125
193,2860000,5890,48019.296875
194,2860000,5920,47960.796875
195,2860000,5950,47591.09375
196,2860000,5980,47839.90625
197,2860000,6010,47866.109375
198,2860000,6040,47823.296875
199,2860000,6070,47771.796875
200,2860000,6100,47741.796875
201,2860000,6130,47483.796875
202,2860000,6160,47799.09375
203,2860000,6190,47880.703125
204,2860000,6220,47948.0
205,2860000,6250,47931.109375
206,2860000,6280,47941.703125
207,2860000,6310,47987.203125
208,2860000,6340,47928.703125
209,2860000,6370,47813.203125
210,2860000,6400,47785.109375
211,2860000,6430,47806.40625
212,2860000,6460,47912.296875
213,2860000,6490,47735.0
214,2860000,6520,48043.796875
215,2860000,6550,47917.59375
216,2860000,6580,47804.609375
217,2860000,6610,47888.703125
218,2860000,6640,47971.203125
219,2860000,6670,47980.703125
220,2860000,6700,47897.796875
221,2860000,6730,47785.296875
222,2860000,6760,47556.40625
223,2860000,6790,48017.1875
224,2860000,6820,48085.703125
225,2860000,6850,48067.296875
226,2860000,6880,47922.703125
227,2860000,6910,47755.6875
228,2860000,6940,47778.203125
229,2860000,6970,47924.90625
230,2860000,7000,47990.0
231,2860000,7030,47942.5
232,2860000,7060,47638.1875
233,2860000,7090,47937.796875
234,2860000,7120,47954.390625
235,2860000,7150,48078.6875
236,2860000,7180,48111.6875
237,2860000,7210,48004.796875
238,2860000,7240,47868.109375
239,2860000,7270,47869.703125
240,2860000,7300,47870.796875
241,2860000,7330,48024.203125
242,2860000,7360,48058.5
243,2860000,7390,47969.796875
244,2860000,7420,47776.40625
245,2860000,7450,47950.203125
246,2860000,7480,47943.0
247,2860000,7510,47950.3125
248,2860000,7540,47942.796875
249,2860000,7570,48012.90625
250,2860000,7600,47988.59375
251,2860000,7630,47892.90625
252,2860000,7660,47961.5
253,2860000,7690,47761.09375
254,2860000,7720,48074.796875
255,2860000,7750,48052.390625
256,2860000,7780,48004.3125
257,2860000,7810,47889.296875
258,2860000,7840,47899.90625
259,2860000,7870,47974.203125
260,2860000,7900,48075.796875
261,2860000,7930,48028.296875
