,Frequency (kHz),Pulse duration (ns),Photoluminescence
0,2860000,100,8735.203125
1,2860000,130,64973.90625
2,2860000,160,68552.109375
3,2860000,190,61119.0
4,2860000,220,46880.59375
5,2860000,250,53156.0
6,2860000,280,60168.296875
7,2860000,310,60369.390625
8,2860000,340,53783.90625
9,2860000,370,47185.8125
10,2860000,400,50004.3125
11,2860000,430,55995.296875
12,2860000,460,58031.703125
13,2860000,490,55000.40625
14,2860000,520,51203.5
15,2860000,550,50188.703125
16,2860000,580,52622.0
17,2860000,610,54169.09375
18,2860000,640,54507.390625
19,2860000,670,53786.59375
20,2860000,700,53642.203125
21,2860000,730,54769.90625
22,2860000,760,55123.09375
23,2860000,790,52312.703125
24,2860000,820,49963.703125
25,2860000,850,49757.5
26,2860000,880,51645.609375
27,2860000,910,54316.796875
28,2860000,940,54791.09375
29,2860000,970,53153.40625
30,2860000,1000,51900.703125
31,2860000,1030,52736.40625
32,2860000,1060,54220.0
33,2860000,1090,55480.3125
34,2860000,1120,54387.796875
35,2860000,1150,51178.8125
36,2860000,1180,49847.390625
37,2860000,1210,50938.09375
38,2860000,1240,52829.5
39,2860000,1270,54543.890625
40,2860000,1300,54216.59375
41,2860000,1330,52755.5
42,2860000,1360,51888.3125
43,2860000,1390,52111.796875
44,2860000,1420,53377.0
45,2860000,1450,54270.5
46,2860000,1480,54156.390625
47,2860000,1510,52781.109375
48,2860000,1540,51979.59375
49,2860000,1570,51651.0
50,2860000,1600,52185.59375
51,2860000,1630,53309.40625
52,2860000,1660,53544.296875
53,2860000,1690,52519.796875
54,2860000,1720,52173.703125
55,2860000,1750,51927.09375
56,2860000,1780,52845.59375
57,2860000,1810,53978.203125
58,2860000,1840,54363.796875
59,2860000,1870,53248.5
60,2860000,1900,52039.5
61,2860000,1930,51503.5
62,2860000,1960,52115.5
63,2860000,1990,53215.5
64,2860000,2020,53478.5
65,2860000,2050,52522.1875
66,2860000,2080,52393.796875
67,2860000,2110,52437.703125
68,2860000,2140,53049.5
69,2860000,2170,53480.0
70,2860000,2200,53184.8125
71,2860000,2230,52594.59375
72,2860000,2260,52540.890625
73,2860000,2290,53056.0
74,2860000,2320,53063.5
75,2860000,2350,53144.09375
76,2860000,2380,52598.203125
77,2860000,2410,52289.609375
78,2860000,2440,52538.796875
79,2860000,2470,52918.59375
80,2860000,2500,52815.1875
81,2860000,2530,52447.5
82,2860000,2560,52508.0
83,2860000,2590,53217.390625
84,2860000,2620,53508.0
85,2860000,2650,53812.203125
86,2860000,2680,53002.796875
87,2860000,2710,51958.0
88,2860000,2740,51925.59375
89,2860000,2770,52583.0
90,2860000,2800,53163.203125
91,2860000,2830,53034.40625
92,2860000,2860,52579.3125
93,2860000,2890,52437.703125
94,2860000,2920,52914.390625
95,2860000,2950,53686.296875
96,2860000,2980,53284.796875
97,2860000,3010,52834.90625
98,2860000,3040,52085.703125
99,2860000,3070,51947.390625
100,2860000,3100,52954.203125
101,2860000,3130,53306.40625
102,2860000,3160,53370.5
103,2860000,3190,52889.390625
104,2860000,3220,52611.703125
105,2860000,3250,52690.0
106,2860000,3280,52991.59375
