,Frequency (kHz),Pulse duration (ns),Photoluminescence
0,2860000,100,10657.09375
1,2860000,130,59342.203125
2,2860000,160,59452.296875
3,2860000,190,55217.5
4,2860000,220,43082.507812
5,2860000,250,42199.796875
6,2860000,280,49396.703125
7,2860000,310,54156.203125
8,2860000,340,52712.203125
9,2860000,370,47813.0
10,2860000,400,46058.09375
11,2860000,430,48516.40625
12,2860000,460,50666.109375
13,2860000,490,51477.90625
14,2860000,520,49796.0
15,2860000,550,47504.109375
16,2860000,580,47828.796875
17,2860000,610,48716.507812
18,2860000,640,48823.5
19,2860000,670,48542.703125
20,2860000,700,47804.0
21,2860000,730,48322.59375
22,2860000,760,49661.695312
23,2860000,790,50398.203125
24,2860000,820,49282.40625
25,2860000,850,47546.109375
26,2860000,880,46490.703125
27,2860000,910,47803.804688
28,2860000,940,49596.304688
29,2860000,970,50530.304688
30,2860000,1000,49729.90625
31,2860000,1030,47704.203125
32,2860000,1060,47147.203125
33,2860000,1090,48281.796875
34,2860000,1120,49522.703125
35,2860000,1150,49554.203125
36,2860000,1180,49039.796875
37,2860000,1210,47693.195312
38,2860000,1240,47515.609375
39,2860000,1270,48649.203125
40,2860000,1300,49561.296875
41,2860000,1330,49516.796875
42,2860000,1360,48621.703125
43,2860000,1390,47608.109375
44,2860000,1420,47889.296875
45,2860000,1450,49015.59375
46,2860000,1480,49333.609375
47,2860000,1510,49309.40625
48,2860000,1540,48223.0
49,2860000,1570,47495.90625
50,2860000,1600,47762.203125
51,2860000,1630,48879.492188
52,2860000,1660,49593.109375
53,2860000,1690,49409.59375
54,2860000,1720,48721.898438
55,2860000,1750,47823.5
56,2860000,1780,47505.09375
57,2860000,1810,48485.609375
58,2860000,1840,49074.101562
59,2860000,1870,49201.601562
60,2860000,1900,48847.304688
61,2860000,1930,48368.109375
62,2860000,1960,48145.101562
63,2860000,1990,48321.203125
64,2860000,2020,48662.492188
65,2860000,2050,48954.5
66,2860000,2080,48640.304688
67,2860000,2110,48746.609375
68,2860000,2140,48369.195312
69,2860000,2170,48217.90625
70,2860000,2200,48354.992188
71,2860000,2230,48740.40625
72,2860000,2260,48917.703125
73,2860000,2290,48957.59375
74,2860000,2320,48694.5
75,2860000,2350,48328.601562
76,2860000,2380,48373.007812
77,2860000,2410,48534.109375
78,2860000,2440,48418.796875
79,2860000,2470,48896.59375
80,2860000,2500,48700.796875
81,2860000,2530,48472.398438
82,2860000,2560,48362.90625
83,2860000,2590,48458.703125
84,2860000,2620,48699.203125
85,2860000,2650,48808.195312
86,2860000,2680,48802.804688
87,2860000,2710,48280.898438
88,2860000,2740,48559.992188
89,2860000,2770,48522.703125
90,2860000,2800,48488.695312
91,2860000,2830,48612.101562
92,2860000,2860,48687.796875
93,2860000,2890,48762.398438
94,2860000,2920,48744.5
95,2860000,2950,48546.992188
96,2860000,2980,48444.804688
97,2860000,3010,48525.101562
98,2860000,3040,48631.09375
99,2860000,3070,48483.398438
100,2860000,3100,48880.296875
101,2860000,3130,48603.703125
102,2860000,3160,48420.898438
103,2860000,3190,48420.007812
104,2860000,3220,48559.992188
105,2860000,3250,48847.90625
106,2860000,3280,48835.703125
107,2860000,3310,48699.40625
108,2860000,3340,48099.601562
109,2860000,3370,48415.703125
110,2860000,3400,48602.59375
111,2860000,3430,48809.40625
112,2860000,3460,48754.90625
113,2860000,3490,48633.796875
114,2860000,3520,48587.890625
115,2860000,3550,48627.5
116,2860000,3580,48750.5
117,2860000,3610,48763.507812
118,2860000,3640,48765.398438
119,2860000,3670,48547.804688
120,2860000,3700,48249.304688
121,2860000,3730,48727.898438
122,2860000,3760,48834.898438
123,2860000,3790,48849.203125
124,2860000,3820,48689.703125
125,2860000,3850,48473.007812
126,2860000,3880,48505.695312
127,2860000,3910,48723.59375
128,2860000,3940,48907.804688
129,2860000,3970,48498.40625
130,2860000,4000,48662.296875
131,2860000,4030,48580.703125
132,2860000,4060,48353.992188
133,2860000,4090,48672.695312
134,2860000,4120,48817.304688
135,2860000,4150,48790.390625
136,2860000,4180,48675.40625
137,2860000,4210,48592.59375
